id,scrape_id,last_scraped,host_id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
9835,2.02008E+13,21/8/20,33057,f,1,1,"Bulleen, Victoria, Australia",Manningham,-37.77268,145.09213,Private room,2,1,2,$60.00 ,1,365,365,4,0,0,24/5/11,12/9/15,90,9,10,10,10,9,9,f,1,0.04
10803,2.02008E+13,20/8/20,38901,f,1,1,"Brunswick East, Victoria, Australia",Moreland,-37.76651,144.98074,Private room,2,1,2,$31.00 ,4,14,1,145,16,0,12/1/13,8/4/20,89,10,8,10,10,10,10,f,1,1.57
12936,2.02008E+13,20/8/20,50121,f,13,13,"St Kilda, Victoria, Australia",Port Phillip,-37.85999,144.97662,Entire home/apt,2,1,1,$95.00 ,3,14,0,42,12,0,4/8/10,15/3/20,94,10,9,10,10,10,9,f,10,0.34
38271,2.02008E+13,21/8/20,164193,t,1,1,"Berwick, Victoria, Australia",Casey,-38.05725,145.33936,Entire home/apt,5,3,3,$99.00 ,1,14,329,149,18,0,24/11/10,16/5/20,97,10,10,10,10,10,10,f,1,1.26
41836,2.02008E+13,22/8/20,182833,f,3,3,"Reservoir, Victoria, Australia",Darebin,-37.69729,145.00082,Private room,2,1,1,$40.00 ,7,365,0,160,2,0,19/5/11,19/9/19,94,10,9,10,9,9,9,f,2,1.42
43429,2.02008E+13,21/8/20,189684,t,3,3,"Oakleigh East, Victoria, Australia",Monash,-37.8996,145.11447,Entire home/apt,4,1,1,$99.00 ,2,365,347,210,14,0,5/12/10,29/3/20,98,10,10,10,10,10,10,t,2,1.78
44082,2.02008E+13,22/8/20,193031,t,6,6,"Frankston, Victoria, Australia",Frankston,-38.14932,145.14157,Private room,2,1,1,$79.00 ,2,730,365,51,15,0,11/2/11,22/6/20,100,10,10,10,10,10,10,f,6,0.44
47100,2.02008E+13,20/8/20,212071,f,3,3,"Richmond, Victoria, Australia",Yarra,-37.81804,145.00442,Entire home/apt,2,1,1,$100.00 ,5,18,0,178,1,0,9/9/10,17/10/19,98,10,10,10,10,10,9,t,3,1.47
51592,2.02008E+13,22/8/20,190879,f,1,1,"Melbourne, Victoria, Australia",Melbourne,-37.81486,144.96267,Entire home/apt,6,1,2,$249.00 ,2,1125,2,259,34,2,22/2/11,2/8/20,99,10,10,10,10,10,10,t,1,2.24
51817,2.02008E+13,21/8/20,235341,f,0,0,"Elwood, Victoria, Australia",Port Phillip,-37.87629,144.98964,Entire home/apt,4,2,2,$89.00 ,2,42,232,73,3,0,1/8/11,14/3/20,93,9,9,10,10,9,10,t,1,0.66
66754,2.02008E+13,20/8/20,50121,f,13,13,"Richmond, Victoria, Australia",Yarra,-37.82127,144.99408,Entire home/apt,2,1,1,$94.00 ,3,14,0,70,14,0,8/3/11,14/3/20,92,9,9,10,10,10,9,f,10,0.61
67211,2.02008E+13,21/8/20,326880,t,1,1,,Boroondara,-37.8037,145.03396,Private room,1,1,1,$45.00 ,2,30,365,172,12,0,13/2/11,23/3/20,96,10,10,10,10,10,10,f,1,1.48
68411,2.02008E+13,20/8/20,334095,f,1,1,"Hampton, Victoria, Australia",Bayside,-37.93206,145.0146,Entire home/apt,7,4,5,$300.00 ,1,730,0,0,0,0,,,,,,,,,,f,1,
69421,2.02008E+13,21/8/20,347754,f,1,1,"Clifton Hill, Victoria, Australia",Yarra,-37.78784,145.00548,Entire home/apt,4,1,2,$180.00 ,2,90,365,1,0,0,10/1/16,10/1/16,100,10,10,10,10,10,10,f,1,0.02
70328,2.02008E+13,21/8/20,356006,t,1,1,"Mordialloc, Victoria, Australia",Kingston,-38.00546,145.08541,Private room,2,1,1,$70.00 ,1,7,291,131,20,0,17/3/11,28/6/20,99,10,10,10,10,10,10,f,1,1.14
72576,2.02008E+13,20/8/20,376675,t,2,2,"Fitzroy, Victoria, Australia",Yarra,-37.80689,144.97946,Private room,2,1,1,$120.00 ,2,20,79,529,43,0,5/4/11,28/6/20,99,10,10,10,10,10,10,f,2,4.63
74324,2.02008E+13,20/8/20,390761,t,4,4,"Fitzroy, Victoria, Australia",Yarra,-37.80275,144.97616,Entire home/apt,5,2,2,$237.12 ,14,1125,339,67,0,0,17/5/15,26/3/18,96,10,10,10,10,10,9,f,3,1.05
74959,2.02008E+13,21/8/20,395864,t,2,2,"Port Melbourne, Victoria, Australia",Port Phillip,-37.84098,144.9364,Private room,2,1,1,$90.00 ,2,31,338,108,14,0,4/6/11,26/1/20,99,10,10,10,10,10,10,f,1,0.96
78143,2.02008E+13,22/8/20,419767,t,1,1,"Prahran, Victoria, Australia",Stonnington,-37.8531,144.99012,Private room,2,2,2,$85.00 ,2,28,364,146,14,0,7/6/11,16/3/20,95,10,10,10,10,10,10,f,1,1.3
80986,2.02008E+13,20/8/20,50121,f,13,13,"Richmond, Victoria, Australia",Yarra,-37.81541,145.00157,Entire home/apt,2,1,1,$84.00 ,3,14,0,80,13,0,10/10/11,24/3/20,89,9,9,10,10,10,9,f,10,0.74
86369,2.02008E+13,22/8/20,246509,t,2,2,"Saint Kilda East, Victoria, Australia",Glen Eira,-37.86971,145.00662,Entire home/apt,2,1,1,$89.00 ,28,200,0,10,1,0,17/3/18,1/12/19,93,10,10,10,10,10,10,f,1,0.34
86422,2.02008E+13,21/8/20,473732,f,0,0,,Whitehorse,-37.82522,145.19781,Private room,6,2,2,$97.00 ,1,400,358,55,0,0,12/4/11,7/10/17,96,10,10,10,10,9,10,f,1,0.48
108032,2.02008E+13,20/8/20,559227,t,2,2,"Melbourne, Victoria, Australia",Melbourne,-37.81595,144.96606,Entire home/apt,2,1,1,$140.00 ,2,21,351,254,16,0,13/6/11,24/3/20,98,10,9,10,10,10,10,t,1,2.27
111001,2.02008E+13,22/8/20,569413,f,35,35,,Port Phillip,-37.83739,144.96637,Private room,2,1,1,$65.00 ,5,365,0,40,13,1,26/10/18,17/8/20,95,9,9,9,9,9,9,t,24,1.8
120487,2.02008E+13,21/8/20,606393,t,2,2,,Kingston,-37.99031,145.07744,Entire home/apt,4,1,0,$94.00 ,3,365,278,81,9,0,21/10/11,29/2/20,96,10,10,10,10,10,10,f,2,0.75
133617,2.02008E+13,21/8/20,646383,f,2,2,"Port Melbourne, Victoria, Australia",Port Phillip,-37.84317,144.94031,Private room,3,1,2,$90.00 ,3,1125,179,14,1,0,30/11/11,1/3/20,96,9,10,10,10,10,10,f,2,0.13
136510,2.02008E+13,20/8/20,668249,f,1,1,,Melbourne,-37.77919,144.94041,Private room,2,1,1,$48.00 ,1,730,0,10,0,0,21/11/17,23/9/18,90,9,8,9,9,9,10,f,1,0.3
144236,2.02008E+13,21/8/20,699180,f,1,1,,Melbourne,-37.84499,144.97929,Private room,2,1,1,$268.00 ,2,730,365,0,0,0,,,,,,,,,,f,1,
150729,2.02008E+13,22/8/20,376675,t,2,2,"Fitzroy, Victoria, Australia",Yarra,-37.80508,144.97942,Private room,2,1,1,$90.00 ,3,20,0,579,39,0,25/7/11,19/3/20,99,10,10,10,10,10,10,f,2,5.24
157427,2.02008E+13,21/8/20,717024,t,3,3,"Belgrave, Victoria, Australia",Yarra Ranges,-37.90605,145.35069,Entire home/apt,2,1,1,$167.00 ,1,28,364,36,4,0,15/11/11,10/7/20,97,10,10,10,10,10,9,f,2,0.34
161033,2.02008E+13,21/8/20,770883,t,1,1,"Chum Creek, Victoria, Australia",Yarra Ranges,-37.63282,145.49766,Entire home/apt,2,1,1,$95.00 ,2,14,307,237,13,0,30/8/11,4/7/20,96,10,10,10,10,10,10,f,1,2.17
161404,2.02008E+13,21/8/20,772011,f,2,2,"Ivanhoe, Victoria, Australia",Banyule,-37.75651,145.03991,Entire home/apt,5,2,4,$98.00 ,5,30,29,32,18,0,29/9/17,15/3/20,93,9,9,10,10,10,10,f,2,0.91
163077,2.02008E+13,20/8/20,50121,f,13,13,"Elwood, Victoria, Australia",Port Phillip,-37.8786,144.9913,Entire home/apt,2,1,1,$89.00 ,3,14,0,59,10,0,10/10/11,29/3/20,94,10,9,10,10,10,9,f,10,0.55
167067,2.02008E+13,21/8/20,796181,f,1,1,,Monash,-37.87146,145.12984,Private room,2,1,1,$45.00 ,4,730,232,72,2,0,18/9/11,27/3/20,88,9,9,10,10,9,9,f,1,0.66
173426,2.02008E+13,20/8/20,804527,f,1,1,"Melbourne, Victoria, Australia",Darebin,-37.76315,144.98578,Private room,1,1,1,$40.00 ,1,7,0,18,1,0,24/8/11,23/1/20,99,10,10,10,10,10,10,f,1,0.16
189128,2.02008E+13,21/8/20,668611,t,2,2,"Hawthorn East, Victoria, Australia",Boroondara,-37.8176,145.05913,Private room,2,1,1,$63.00 ,1,30,149,92,6,0,2/12/12,29/2/20,97,10,10,10,10,10,10,f,1,0.98
189293,2.02008E+13,20/8/20,182833,f,3,3,,Darebin,-37.69879,145.00193,Private room,2,1,1,$35.00 ,2,20,0,1,0,0,7/5/17,7/5/17,100,10,10,10,10,10,10,t,2,0.02
206865,2.02008E+13,20/8/20,449064,f,1,1,"St Kilda, Victoria, Australia",Port Phillip,-37.85961,144.97712,Entire home/apt,4,2,2,$130.00 ,3,365,365,77,0,0,11/9/11,29/9/16,93,9,10,10,10,9,9,t,1,0.71
209073,2.02008E+13,20/8/20,1029900,f,1,1,"Melbourne, Victoria, Australia",Melbourne,-37.8171,144.97676,Entire home/apt,2,1,1,$180.00 ,7,90,292,21,1,0,3/1/12,25/1/20,93,9,9,9,9,10,9,t,1,0.2
