id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9835,Beautiful Room & House,33057,Manju,,Manningham,-37.77268,145.09213,Private room,60,1,4,2015-09-12,0.04,1,365
10803,Room in Cool Deco Apartment in Brunswick East,38901,Lindsay,,Moreland,-37.76651,144.98074,Private room,31,4,145,2020-04-08,1.57,1,1
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.85999,144.97662,Entire home/apt,95,3,42,2020-03-15,0.34,10,0
38271,Melbourne - Old Trafford Apartment,164193,Daryl & Dee,,Casey,-38.05725,145.33936,Entire home/apt,99,1,149,2020-05-16,1.26,1,329
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69729,145.00082,Private room,40,7,160,2019-09-19,1.42,2,0
43429,Tranquil Javanese-Style Apartment in Oakleigh East,189684,Allan,,Monash,-37.8996,145.11447,Entire home/apt,99,2,210,2020-03-29,1.78,2,347
44082,Queen Room in Beautiful House,193031,Vicki,,Frankston,-38.14932,145.14157,Private room,79,2,51,2020-06-22,0.44,6,365
47100,Très Charming in Fabulous Richmond,212071,Loren,,Yarra,-37.81804,145.00442,Entire home/apt,100,5,178,2019-10-17,1.47,3,0
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81486,144.96267,Entire home/apt,249,2,259,2020-08-02,2.24,1,2
51817,Stay in lovely bayside Elwood!,235341,Bree,,Port Phillip,-37.87629,144.98964,Entire home/apt,89,2,73,2020-03-14,0.66,1,232
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82127,144.99408,Entire home/apt,94,3,70,2020-03-14,0.61,10,0
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.8037,145.03396,Private room,45,2,172,2020-03-23,1.48,1,365
68411,Large Bayside suburban house,334095,Alec,,Bayside,-37.93206,145.0146,Entire home/apt,300,1,0,,,1,0
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,Wendy,,Yarra,-37.78784,145.00548,Entire home/apt,180,2,1,2016-01-10,0.02,1,365
70328,AWESOME BEACH HOUSE BnB -,356006,Raewyn,,Kingston,-38.00546,145.08541,Private room,70,1,131,2020-06-28,1.14,1,291
72576,Stunning Fitzroy +private bathroom 'Little George',376675,Ramona,,Yarra,-37.80689,144.97946,Private room,120,2,529,2020-06-28,4.63,2,79
74324,Tamerlane: Architect-designed luxury living,390761,Matt,,Yarra,-37.80275,144.97616,Entire home/apt,237,14,67,2018-03-26,1.05,3,339
74959,Blissful Beachside Port Melbourne Warehouse,395864,Linda,,Port Phillip,-37.84098,144.9364,Private room,90,2,108,2020-01-26,0.96,1,338
78143,2 bedrooms-ideal for friends/family,419767,Julie,,Stonnington,-37.8531,144.99012,Private room,85,2,146,2020-03-16,1.30,1,364
80986,Richmond CENTRAL PARK EDGE 1BR+WIFI,50121,The A2C Team,,Yarra,-37.81541,145.00157,Entire home/apt,84,3,80,2020-03-24,0.74,10,0
86369,"Sunny 1950s Apartment, St Kilda East 
Longer stays",246509,Fiona,,Glen Eira,-37.86971,145.00662,Entire home/apt,89,28,10,2019-12-01,0.34,1,0
86422,2 Bright Rooms own Bathrm nr train,473732,Angela,,Whitehorse,-37.82522,145.19781,Private room,97,1,55,2017-10-07,0.48,1,358
108032,Studio apartment on Collins Street,559227,Malcolm,,Melbourne,-37.81595,144.96606,Entire home/apt,140,2,254,2020-03-24,2.27,1,351
111001,Double Guest Room Ensuited,569413,Dina,,Port Phillip,-37.83739,144.96637,Private room,65,5,40,2020-08-17,1.80,24,0
120487,Garden Bungalow with the Possums,606393,Barbara,,Kingston,-37.99031,145.07744,Entire home/apt,94,3,81,2020-02-29,0.75,2,278
133617,Life style on the Beach 豪华的海边生活,646383,Hannah,,Port Phillip,-37.84317,144.94031,Private room,90,3,14,2020-03-01,0.13,2,179
136510,Private Room,668249,Shirley,,Melbourne,-37.77919,144.94041,Private room,48,1,10,2018-09-23,0.30,1,0
144236,"Lux Apartment, Australian Open",699180,Peter,,Melbourne,-37.84499,144.97929,Private room,268,2,0,,,1,365
150729,"Fabulous Fitzroy, gorgeous Gertrude St.   No Ikea!",376675,Ramona,,Yarra,-37.80508,144.97942,Private room,90,3,579,2020-03-19,5.24,2,0
157427,"Stone's Throw Studio, Belgrave",717024,Margaret,,Yarra Ranges,-37.90605,145.35069,Entire home/apt,167,1,36,2020-07-10,0.34,2,364
161033,Healesville Yarra Valley Cottage,770883,Karen,,Yarra Ranges,-37.63282,145.49766,Entire home/apt,95,2,237,2020-07-04,2.17,1,307
161404,"Handy Location, 5Beds, 3bath, 10km to CBD, Austin",772011,Alice,,Banyule,-37.75651,145.03991,Entire home/apt,98,5,32,2020-03-15,0.91,2,29
163077,Elwood CHIC 1BR+WALK TO VILLAGE+WIFI,50121,The A2C Team,,Port Phillip,-37.8786,144.9913,Entire home/apt,89,3,59,2020-03-29,0.55,10,0
167067,Convenient Spot in Mt Waverley,796181,John,,Monash,-37.87146,145.12984,Private room,45,4,72,2020-03-27,0.66,1,232
173426,Beautiful Northcote home with heart -close to city,804527,Tania,,Darebin,-37.76315,144.98578,Private room,40,1,18,2020-01-23,0.16,1,0
189128,"Double Room, Private Bathroom, Breakfast & Air Con",668611,Toni,,Boroondara,-37.8176,145.05913,Private room,63,1,92,2020-02-29,0.98,1,149
189293,A POP-UP BEDROOM NEAR CITY AND AIRPORT,182833,Diana,,Darebin,-37.69879,145.00193,Private room,35,2,1,2017-05-07,0.02,2,0
206865,Luxury Private St.Kilda Apartment,449064,Lisa,,Port Phillip,-37.85961,144.97712,Entire home/apt,130,3,77,2016-09-29,0.71,1,365
209073,Luxury Melbourne City Apartment,1029900,Oscar,,Melbourne,-37.8171,144.97676,Entire home/apt,180,7,21,2020-01-25,0.20,1,292
210568,"Carnarvon, Armadale/St KldaE/Caulfl",1038237,Ian,,Glen Eira,-37.86898,145.02775,Private room,60,3,22,2019-09-26,0.21,2,74
213348,Large room in quiet Victorian home,689924,Adrian,,Port Phillip,-37.85874,144.98633,Private room,90,3,5,2018-07-27,0.11,1,0
214565,Warm and inviting cottage in the North East,1107678,Helen,,Banyule,-37.7137,145.1238,Private room,40,1,0,,,1,0
230790,Clarelee - Belgrave Accommodation,1197236,Clarelee,,Yarra Ranges,-37.90514,145.35261,Entire home/apt,564,2,76,2020-03-15,1.05,1,362
232088,VERY QUIET  2 Bedrooms  2 Bathrooms BIG Kitchen,1214242,Mal,,Moreland,-37.71096,144.9518,Entire home/apt,99,3,21,2020-03-08,0.20,8,289
232812,Parkland apartment on edge of CBD,950667,Rosemary,,Melbourne,-37.7857,144.95616,Entire home/apt,190,2,8,2018-02-28,0.07,1,0
240410,Beautifully Appointed Apt - Central,1260586,Neil,,Melbourne,-37.80507,144.9519,Entire home/apt,135,2,76,2019-12-16,0.77,1,342
241263,Inner city apartment with amazing views,1345462,Gloria,,Melbourne,-37.78128,144.95618,Private room,85,1,228,2020-03-21,2.19,1,324
244872,Cool spot near chapel st!,605990,Jenny,,Stonnington,-37.85077,145.01013,Private room,73,1,0,,,1,365
244952,Treehouse apartment in Fitzroy,287730,Rebecca,,Yarra,-37.80403,144.97908,Entire home/apt,89,3,281,2020-03-13,2.62,1,323
247006,Albert Park: Between St Kilda & CBD - Perfect spot,538647,Chris,,Port Phillip,-37.84506,144.9571,Private room,81,2,142,2020-02-16,1.33,1,0
247140,Self Contained Apartment (CBD Edge),1296115,Fiona,,Melbourne,-37.817,144.9767,Entire home/apt,225,3,81,2020-03-16,0.76,1,365
248235,Gorgeous home with pool. Central location!!,1300846,Ayelet,,Glen Eira,-37.86392,145.01737,Entire home/apt,460,4,12,2020-01-14,0.13,1,124
251354,Inner city Warehouse Garden of Eden,1318256,Elana,,Stonnington,-37.85795,145.02439,Entire home/apt,200,1,7,2017-01-23,0.07,1,89
251965,Private room in Elwood,725136,Nathan,,Port Phillip,-37.87634,144.9886,Entire home/apt,251,1,0,,,1,0
256186,Collingwood 2 bedrm Warehouse Apt,1344893,Hoang And Michael,,Yarra,-37.80182,144.98274,Entire home/apt,140,6,155,2020-03-17,1.48,1,313
257149,Sunny 2BR Melbourne flat 7kms CBD,504534,Lanie,,Darebin,-37.76294,144.9964,Entire home/apt,129,2,122,2020-03-15,1.16,1,364
257915,Central Apartments in Melbourne,569413,Dina,,Melbourne,-37.82525,144.96145,Entire home/apt,714,2,51,2020-02-23,0.49,24,365
261558,Victorian terrace in Nth Melbourne close to CBD!,1372143,Chloé,,Melbourne,-37.80439,144.95213,Private room,71,2,17,2020-03-31,0.36,1,0
263871,In The Heart Of The City- Melbourne,1384456,Eliisa,,Melbourne,-37.81695,144.96295,Entire home/apt,131,14,41,2020-03-31,0.45,1,365
268525,Home 20mins (CBD) near Box Hill,1179603,Anita,,Whitehorse,-37.8129,145.14081,Private room,41,5,0,,,1,364
